Institution,State,Cost,MedianDebt,MedianEarnings,UndergradSize
Alabama A & M University,AL,23751.0,16600,40628.0,5726.0
University of Alabama at Birmingham,AL,27826.0,15832,54501.0,12118.0
University of Alabama in Huntsville,AL,27098.0,13905,61767.0,6650.0
Alabama State University,AL,22028.0,17500,34502.0,3322.0
The University of Alabama,AL,32024.0,17986,59221.0,32323.0
Central Alabama Community College,AL,19815.0,5500,33506.0,1134.0
Auburn University at Montgomery,AL,21873.0,13119,44391.0,2693.0
Auburn University,AL,34402.0,17750,65337.0,25732.0
Birmingham-Southern College,AL,38385.0,16000,59481.0,713.0
Chattahoochee Valley Community College,AL,12032.0,5900,36438.0,1044.0
South University-Montgomery,AL,30704.0,13000,34421.0,302.0
Enterprise State Community College,AL,14798.0,5500,42572.0,1476.0
Coastal Alabama Community College,AL,15171.0,5500,34894.0,4714.0
Faulkner University,AL,36910.0,15000,43457.0,1555.0
Gadsden State Community College,AL,10687.0,PS,32937.0,3619.0
George C Wallace Community College-Dothan,AL,9863.0,PS,31399.0,3053.0
George C Wallace State Community College-Hanceville,AL,18748.0,8200,39842.0,4413.0
George C Wallace State Community College-Selma,AL,9505.0,PS,31598.0,828.0
Herzing University-Birmingham,AL,27195.0,11756,36909.0,445.0
Huntingdon College,AL,39686.0,20000,49601.0,865.0
J. F. Drake State Community and Technical College,AL,11908.0,PS,28281.0,719.0
Jacksonville State University,AL,23422.0,14000,45235.0,7030.0
Jefferson State Community College,AL,14384.0,4500,40719.0,5443.0
John C Calhoun State Community College,AL,12687.0,6010,38192.0,6928.0
Lawson State Community College,AL,15028.0,PS,31701.0,2720.0
University of West Alabama,AL,22402.0,13000,44232.0,2666.0
Lurleen B Wallace Community College,AL,10223.0,PS,32307.0,1122.0
Marion Military Institute,AL,18458.0,5500,59644.0,308.0
Miles College,AL,22900.0,15691,32627.0,1151.0
University of Mobile,AL,38731.0,19000,43611.0,1079.0
University of Montevallo,AL,26233.0,16000,42957.0,2087.0
Northwest Shoals Community College,AL,10894.0,5500,33828.0,1924.0
University of North Alabama,AL,22086.0,15781,45415.0,5468.0
Northeast Alabama Community College,AL,10620.0,4400,34913.0,1547.0
Oakwood University,AL,38592.0,21500,42488.0,1253.0
Reid State Technical College,AL,9066.0,PS,28982.0,365.0
Bishop State Community College,AL,11530.0,PS,29916.0,2100.0
Samford University,AL,53934.0,15750,58469.0,3828.0
Shelton State Community College,AL,16607.0,PS,35014.0,3191.0
Snead State Community College,AL,12583.0,6450,35735.0,1494.0
University of South Alabama,AL,22070.0,17750,49379.0,8540.0
Spring Hill College,AL,37172.0,21500,51500.0,850.0
Stillman College,AL,23485.0,16000,35421.0,761.0
Talladega College,AL,23441.0,15000,32229.0,782.0
H Councill Trenholm State Community College,AL,12148.0,PS,32183.0,1584.0
Troy University,AL,21816.0,15985,42062.0,10089.0
Tuskegee University,AL,41924.0,21250,49641.0,2367.0
Bevill State Community College,AL,15238.0,PS,34107.0,2189.0
University of Alaska Anchorage,AK,21848.0,11231,51871.0,6916.0
University of Alaska Fairbanks,AK,21182.0,11283,48866.0,4027.0
University of Alaska Southeast,AK,16796.0,10500,48475.0,920.0
Alaska Pacific University,AK,34964.0,12696,54271.0,400.0
Charter College,AK,31188.0,11884,35504.0,2277.0
Arizona State University Campus Immersion,AZ,28047.0,13610,62668.0,64398.0
Arizona Western College,AZ,15857.0,4500,36857.0,6198.0
